E 7 7 N;8.87 0.0 -4; 0 0 -1
E 4 4 C;13.87 0.0 0.0; 0 0 1
E 4 4 N;18.87 0.0 0.0; 0 0 -1
E 4 4 C;23.87 0.0 0.0; 0 0 1
E 4 4 N;7.18 5.22 0.0; 0 0 -1
E 4 4 C;11.22 8.15 0.0; 0 0 1
E 4 4 N;15.27 11.09 0.0; 0 0 -1
E 4 4 C;19.31 14.03 0.0; 0 0 1
E 4 4 N;2.74 8.44 0.0; 0 0 -1
E 4 4 C;4.29 13.19 0.0; 0 0 1
E 4 4 N;5.83 17.95 0.0; 0 0 -1
E 4 4 C;7.38 22.71 0.0; 0 0 1
E 4 4 N;-2.74 8.44 0.0; 0 0 -1
E 4 4 C;-4.29 13.19 0.0; 0 0 1
E 4 4 N;-5.83 17.95 0.0; 0 0 -1
E 4 4 C;-7.38 22.71 0.0; 0 0 1
E 4 4 N;-7.18 5.22 0.0; 0 0 -1
E 4 4 C;-11.22 8.15 0.0; 0 0 1
E 4 4 N;-15.27 11.09 0.0; 0 0 -1
E 4 4 C;-19.31 14.03 0.0; 0 0 1
E 4 4 N;-8.87 0.0 0.0; 0 0 -1
E 4 4 C;-13.87 0.0 0.0; 0 0 1
E 4 4 N;-18.87 0.0 0.0; 0 0 -1
E 4 4 C;-23.87 0.0 0.0; 0 0 1
E 4 4 N;-7.18 -5.22 0.0; 0 0 -1
E 4 4 C;-11.22 -8.15 0.0; 0 0 1
E 4 4 N;-15.27 -11.09 0.0; 0 0 -1
E 4 4 C;-19.31 -14.03 0.0; 0 0 1
E 4 4 N;-2.74 -8.44 0.0; 0 0 -1
E 4 4 C;-4.29 -13.19 0.0; 0 0 1
E 4 4 N;-5.83 -17.95 0.0; 0 0 -1
E 4 4 C;-7.38 -22.71 0.0; 0 0 1
E 4 4 N;2.74 -8.44 0.0; 0 0 -1
E 4 4 C;4.29 -13.19 0.0; 0 0 1
E 4 4 N;5.83 -17.95 0.0; 0 0 -1
E 4 4 C;7.38 -22.71 0.0; 0 0 1
E 4 4 N;7.18 -5.22 0.0; 0 0 -1
E 4 4 C;11.22 -8.15 0.0; 0 0 1
E 4 4 N;15.27 -11.09 0.0; 0 0 -1
E 4 4 C;19.31 -14.03 0.0; 0 0 1
